Month,Shein,Thrift,Search_Type
2008-10,0,20,Image
2008-11,0,25,Image
2008-12,0,18,Image
2009-01,0,0,Image
2009-02,0,22,Image
2009-03,0,22,Image
2009-04,0,19,Image
2009-05,0,20,Image
2009-06,0,20,Image
2009-07,0,16,Image
2009-08,0,18,Image
2009-09,0,19,Image
2009-10,0,30,Image
2009-11,0,14,Image
2009-12,0,17,Image
2010-01,0,18,Image
2010-02,0,28,Image
2010-03,0,16,Image
2010-04,0,15,Image
2010-05,0,10,Image
2010-06,0,18,Image
2010-07,0,21,Image
2010-08,0,14,Image
2010-09,0,16,Image
2010-10,0,20,Image
2010-11,0,23,Image
2010-12,0,23,Image
2011-01,0,25,Image
2011-02,0,34,Image
2011-03,0,38,Image
2011-04,0,31,Image
2011-05,0,26,Image
2011-06,0,27,Image
2011-07,0,27,Image
2011-08,0,32,Image
2011-09,0,37,Image
2011-10,0,35,Image
2011-11,0,38,Image
2011-12,0,42,Image
2012-01,0,37,Image
2012-02,0,43,Image
2012-03,0,43,Image
2012-04,0,48,Image
2012-05,0,50,Image
2012-06,0,46,Image
2012-07,0,39,Image
2012-08,0,35,Image
2012-09,0,49,Image
2012-10,0,45,Image
2012-11,0,53,Image
2012-12,0,49,Image
2013-01,0,55,Image
2013-02,0,55,Image
2013-03,0,48,Image
2013-04,0,41,Image
2013-05,0,39,Image
2013-06,0,34,Image
2013-07,0,34,Image
2013-08,0,30,Image
2013-09,0,39,Image
2013-10,0,50,Image
2013-11,0,49,Image
2013-12,0,43,Image
2014-01,0,47,Image
2014-02,0,39,Image
2014-03,0,44,Image
2014-04,0,38,Image
2014-05,0,36,Image
2014-06,0,33,Image
2014-07,0,31,Image
2014-08,0,34,Image
2014-09,0,33,Image
2014-10,0,39,Image
2014-11,0,40,Image
2014-12,0,39,Image
2015-01,0,42,Image
2015-02,0,40,Image
2015-03,0,40,Image
2015-04,0,41,Image
2015-05,0,36,Image
2015-06,0,29,Image
2015-07,0,32,Image
2015-08,0,33,Image
2015-09,0,40,Image
2015-10,0,46,Image
2015-11,0,46,Image
2015-12,0,43,Image
2016-01,0,52,Image
2016-02,0,46,Image
2016-03,0,49,Image
2016-04,0,48,Image
2016-05,0,44,Image
2016-06,0,46,Image
2016-07,0,38,Image
2016-08,0,37,Image
2016-09,0,45,Image
2016-10,0,54,Image
2016-11,0,56,Image
2016-12,0,52,Image
2017-01,0,60,Image
2017-02,0,65,Image
2017-03,0,71,Image
2017-04,0,67,Image
2017-05,0,63,Image
2017-06,0,59,Image
2017-07,0,57,Image
2017-08,0,64,Image
2017-09,0,75,Image
2017-10,0,79,Image
2017-11,0,81,Image
2017-12,0,76,Image
2018-01,0,75,Image
2018-02,0,78,Image
2018-03,0,80,Image
2018-04,0,64,Image
2018-05,0,67,Image
2018-06,0,56,Image
2018-07,0,54,Image
2018-08,0,60,Image
2018-09,0,69,Image
2018-10,0,73,Image
2018-11,0,67,Image
2018-12,0,62,Image
2019-01,0,65,Image
2019-02,0,68,Image
2019-03,0,68,Image
2019-04,0,61,Image
2019-05,0,54,Image
2019-06,0,53,Image
2019-07,0,54,Image
2019-08,0,55,Image
2019-09,0,57,Image
2019-10,0,67,Image
2019-11,0,67,Image
2019-12,0,62,Image
2020-01,0,72,Image
2020-02,0,70,Image
2020-03,0,69,Image
2020-04,0,54,Image
2020-05,0,54,Image
2020-06,0,57,Image
2020-07,0,60,Image
2020-08,0,60,Image
2020-09,0,75,Image
2020-10,0,91,Image
2020-11,0,99,Image
2020-12,0,100,Image
2021-01,0,96,Image
2021-02,0,97,Image
2021-03,0,96,Image
2021-04,0,86,Image
2021-05,1,88,Image
2021-06,3,70,Image
2021-07,3,68,Image
2021-08,7,74,Image
2021-09,7,93,Image
2021-10,8,95,Image
2021-11,8,96,Image
2021-12,9,93,Image
2022-01,12,95,Image
2022-02,13,85,Image
2022-03,16,90,Image
2022-04,15,85,Image
2022-05,16,73,Image
2022-06,18,65,Image
2022-07,23,64,Image
2022-08,21,70,Image
2022-09,22,76,Image
2022-10,20,87,Image
2022-11,25,76,Image
2022-12,22,73,Image
2023-01,21,75,Image
2023-02,24,70,Image
2023-03,21,73,Image
2023-04,21,70,Image
2023-05,20,63,Image
2023-06,22,63,Image
2023-07,23,59,Image
2023-08,23,62,Image
2023-09,25,65,Image
2023-10,25,76,Image
2023-11,28,70,Image
2023-12,27,63,Image
2024-01,24,68,Image
2024-02,27,68,Image
2024-03,23,53,Image
2024-04,20,58,Image
2024-05,22,54,Image
2024-06,28,69,Image
2024-07,24,45,Image
2024-08,18,52,Image
2024-09,0,52,Image
2024-10,0,0,Image
2024-11,0,0,Image
2024-12,0,86,Image
2025-01,0,79,Image
2025-02,0,0,Image
2025-03,0,80,Image
2025-04,16,43,Image
2008-01,0,0,News
2008-02,0,0,News
2008-03,0,0,News
2008-04,0,0,News
2008-05,0,0,News
2008-06,0,0,News
2008-07,0,0,News
2008-08,0,0,News
2008-09,0,0,News
2008-10,0,0,News
2008-11,0,0,News
2008-12,0,0,News
2009-01,0,0,News
2009-02,0,0,News
2009-03,0,0,News
2009-04,0,0,News
2009-05,0,0,News
2009-06,0,0,News
2009-07,0,0,News
2009-08,0,0,News
2009-09,0,0,News
2009-10,0,0,News
2009-11,0,0,News
2009-12,0,0,News
2010-01,0,0,News
2010-02,0,0,News
2010-03,0,0,News
2010-04,0,0,News
2010-05,0,0,News
2010-06,0,0,News
2010-07,0,0,News
2010-08,0,0,News
2010-09,0,0,News
2010-10,0,0,News
2010-11,0,0,News
2010-12,0,100,News
2011-01,0,0,News
2011-02,0,0,News
2011-03,0,0,News
2011-04,0,0,News
2011-05,0,0,News
2011-06,0,0,News
2011-07,0,0,News
2011-08,0,0,News
2011-09,0,0,News
2011-10,0,0,News
2011-11,0,0,News
2011-12,0,0,News
2012-01,0,0,News
2012-02,0,0,News
2012-03,0,0,News
2012-04,0,0,News
2012-05,0,0,News
2012-06,0,0,News
2012-07,0,0,News
2012-08,0,0,News
2012-09,0,0,News
2012-10,0,20,News
2012-11,0,15,News
2012-12,0,0,News
2013-01,0,12,News
2013-02,0,0,News
2013-03,0,0,News
2013-04,0,0,News
2013-05,0,0,News
2013-06,0,0,News
2013-07,0,0,News
2013-08,0,10,News
2013-09,0,13,News
2013-10,0,24,News
2013-11,0,0,News
2013-12,0,17,News
2014-01,0,20,News
2014-02,0,0,News
2014-03,0,17,News
2014-04,0,16,News
2014-05,0,0,News
2014-06,0,0,News
2014-07,0,17,News
2014-08,0,0,News
2014-09,0,0,News
2014-10,0,0,News
2014-11,0,0,News
2014-12,0,0,News
2015-01,0,0,News
2015-02,0,0,News
2015-03,0,0,News
2015-04,0,0,News
2015-05,0,0,News
2015-06,0,0,News
2015-07,0,0,News
2015-08,0,0,News
2015-09,0,0,News
2015-10,0,0,News
2015-11,0,0,News
2015-12,0,0,News
2016-01,0,0,News
2016-02,0,0,News
2016-03,0,0,News
2016-04,0,0,News
2016-05,0,0,News
2016-06,0,0,News
2016-07,0,0,News
2016-08,0,0,News
2016-09,0,0,News
2016-10,0,16,News
2016-11,0,0,News
2016-12,0,14,News
2017-01,0,0,News
2017-02,0,0,News
2017-03,0,19,News
2017-04,0,0,News
2017-05,0,27,News
2017-06,0,0,News
2017-07,0,0,News
2017-08,0,0,News
2017-09,0,0,News
2017-10,0,0,News
2017-11,0,0,News
2017-12,0,0,News
2018-01,0,0,News
2018-02,0,0,News
2018-03,0,0,News
2018-04,0,26,News
2018-05,0,0,News
2018-06,0,0,News
2018-07,0,0,News
2018-08,0,0,News
2018-09,0,0,News
2018-10,0,0,News
2018-11,0,0,News
2018-12,0,0,News
2019-01,0,0,News
2019-02,0,0,News
2019-03,0,0,News
2019-04,0,0,News
2019-05,0,0,News
2019-06,0,0,News
2019-07,0,0,News
2019-08,0,0,News
2019-09,0,0,News
2019-10,0,0,News
2019-11,0,0,News
2019-12,0,0,News
2020-01,0,0,News
2020-02,0,0,News
2020-03,0,0,News
2020-04,0,0,News
2020-05,0,0,News
2020-06,0,0,News
2020-07,0,0,News
2020-08,0,0,News
2020-09,0,0,News
2020-10,0,0,News
2020-11,0,0,News
2020-12,0,0,News
2021-01,0,34,News
2021-02,0,0,News
2021-03,0,0,News
2021-04,0,0,News
2021-05,0,0,News
2021-06,0,0,News
2021-07,0,0,News
2021-08,0,0,News
2021-09,0,0,News
2021-10,0,0,News
2021-11,0,0,News
2021-12,0,0,News
2022-01,0,0,News
2022-02,0,0,News
2022-03,0,22,News
2022-04,0,21,News
2022-05,0,16,News
2022-06,0,0,News
2022-07,15,16,News
2022-08,0,0,News
2022-09,0,0,News
2022-10,24,17,News
2022-11,17,0,News
2022-12,0,17,News
2023-01,0,0,News
2023-02,0,26,News
2023-03,0,19,News
2023-04,0,30,News
2023-05,0,0,News
2023-06,0,0,News
2023-07,22,26,News
2023-08,0,0,News
2023-09,0,24,News
2023-10,0,34,News
2023-11,0,22,News
2023-12,24,0,News
2024-01,0,0,News
2024-02,0,0,News
2024-03,0,32,News
2024-04,0,48,News
2024-05,0,0,News
2024-06,0,0,News
2024-07,0,0,News
2024-08,0,0,News
2024-09,0,25,News
2024-10,0,0,News
2024-11,0,0,News
2024-12,0,0,News
2025-01,0,0,News
2025-02,0,0,News
2025-03,0,0,News
2025-04,3,7,News
2008-01,0,0,Shopping
2008-02,0,0,Shopping
2008-03,0,0,Shopping
2008-04,0,0,Shopping
2008-05,0,0,Shopping
2008-06,0,0,Shopping
2008-07,0,0,Shopping
2008-08,0,0,Shopping
2008-09,0,0,Shopping
2008-10,0,0,Shopping
2008-11,0,0,Shopping
2008-12,0,0,Shopping
2009-01,0,0,Shopping
2009-02,0,0,Shopping
2009-03,0,0,Shopping
2009-04,0,0,Shopping
2009-05,0,0,Shopping
2009-06,0,0,Shopping
2009-07,0,0,Shopping
2009-08,0,0,Shopping
2009-09,0,0,Shopping
2009-10,0,0,Shopping
2009-11,0,0,Shopping
2009-12,0,0,Shopping
2010-01,0,0,Shopping
2010-02,0,0,Shopping
2010-03,0,0,Shopping
2010-04,0,0,Shopping
