Month,Boohoo,Charity Shop,Search_Type
2008-09,0,0,Image
2008-10,0,2,Image
2008-11,1,0,Image
2008-12,0,0,Image
2009-01,2,1,Image
2009-02,2,0,Image
2009-03,0,2,Image
2009-04,0,0,Image
2009-05,0,2,Image
2009-06,2,0,Image
2009-07,0,0,Image
2009-08,2,0,Image
2009-09,0,1,Image
2009-10,1,2,Image
2009-11,0,2,Image
2009-12,0,0,Image
2010-01,2,2,Image
2010-02,3,2,Image
2010-03,3,2,Image
2010-04,2,0,Image
2010-05,2,2,Image
2010-06,2,1,Image
2010-07,3,0,Image
2010-08,2,0,Image
2010-09,1,2,Image
2010-10,2,1,Image
2010-11,2,2,Image
2010-12,1,0,Image
2011-01,2,1,Image
2011-02,2,1,Image
2011-03,2,2,Image
2011-04,3,2,Image
2011-05,3,2,Image
2011-06,2,2,Image
2011-07,3,2,Image
2011-08,2,1,Image
2011-09,4,2,Image
2011-10,5,2,Image
2011-11,5,2,Image
2011-12,5,1,Image
2012-01,5,2,Image
2012-02,5,2,Image
2012-03,6,2,Image
2012-04,6,1,Image
2012-05,7,2,Image
2012-06,5,2,Image
2012-07,7,1,Image
2012-08,5,1,Image
2012-09,6,2,Image
2012-10,6,2,Image
2012-11,6,2,Image
2012-12,6,1,Image
2013-01,6,1,Image
2013-02,7,2,Image
2013-03,10,2,Image
2013-04,8,2,Image
2013-05,8,2,Image
2013-06,8,2,Image
2013-07,9,1,Image
2013-08,9,2,Image
2013-09,8,2,Image
2013-10,9,2,Image
2013-11,9,2,Image
2013-12,10,1,Image
2014-01,8,2,Image
2014-02,10,2,Image
2014-03,12,2,Image
2014-04,11,2,Image
2014-05,14,2,Image
2014-06,13,2,Image
2014-07,12,2,Image
2014-08,11,2,Image
2014-09,10,2,Image
2014-10,10,2,Image
2014-11,13,2,Image
2014-12,11,2,Image
2015-01,10,2,Image
2015-02,11,2,Image
2015-03,13,2,Image
2015-04,12,1,Image
2015-05,12,1,Image
2015-06,13,2,Image
2015-07,15,2,Image
2015-08,16,2,Image
2015-09,13,2,Image
2015-10,15,2,Image
2015-11,15,2,Image
2015-12,15,3,Image
2016-01,11,2,Image
2016-02,13,3,Image
2016-03,13,2,Image
2016-04,16,3,Image
2016-05,16,3,Image
2016-06,16,2,Image
2016-07,16,2,Image
2016-08,15,2,Image
2016-09,13,3,Image
2016-10,15,2,Image
2016-11,15,3,Image
2016-12,15,1,Image
2017-01,12,3,Image
2017-02,14,3,Image
2017-03,16,2,Image
2017-04,18,2,Image
2017-05,21,2,Image
2017-06,18,4,Image
2017-07,19,2,Image
2017-08,19,3,Image
2017-09,16,2,Image
2017-10,17,2,Image
2017-11,20,3,Image
2017-12,21,2,Image
2018-01,15,3,Image
2018-02,16,2,Image
2018-03,17,2,Image
2018-04,22,2,Image
2018-05,22,3,Image
2018-06,25,2,Image
2018-07,23,2,Image
2018-08,25,4,Image
2018-09,20,3,Image
2018-10,20,3,Image
2018-11,20,3,Image
2018-12,19,2,Image
2019-01,17,2,Image
2019-02,21,3,Image
2019-03,19,4,Image
2019-04,26,2,Image
2019-05,28,3,Image
2019-06,28,3,Image
2019-07,28,2,Image
2019-08,26,3,Image
2019-09,21,3,Image
2019-10,24,4,Image
2019-11,26,3,Image
2019-12,24,3,Image
2020-01,22,4,Image
2020-02,22,3,Image
2020-03,17,4,Image
2020-04,20,0,Image
2020-05,21,1,Image
2020-06,24,3,Image
2020-07,28,3,Image
2020-08,26,2,Image
2020-09,21,4,Image
2020-10,19,3,Image
2020-11,21,2,Image
2020-12,19,4,Image
2021-01,18,1,Image
2021-02,19,2,Image
2021-03,19,2,Image
2021-04,22,4,Image
2021-05,22,4,Image
2021-06,24,4,Image
2021-07,27,4,Image
2021-08,31,3,Image
2021-09,22,5,Image
2021-10,26,4,Image
2021-11,26,4,Image
2021-12,26,3,Image
2022-01,22,3,Image
2022-02,23,3,Image
2022-03,23,4,Image
2022-04,21,3,Image
2022-05,21,3,Image
2022-06,22,3,Image
2022-07,21,4,Image
2022-08,22,4,Image
2022-09,19,5,Image
2022-10,21,5,Image
2022-11,21,3,Image
2022-12,20,3,Image
2023-01,14,4,Image
2023-02,16,4,Image
2023-03,15,3,Image
2023-04,17,4,Image
2023-05,16,4,Image
2023-06,17,3,Image
2023-07,17,4,Image
2023-08,15,4,Image
2023-09,15,3,Image
2023-10,14,5,Image
2023-11,17,4,Image
2023-12,16,4,Image
2024-01,12,4,Image
2024-02,12,4,Image
2024-03,8,4,Image
2024-04,10,0,Image
2024-05,13,0,Image
2024-06,15,0,Image
2024-07,14,0,Image
2024-08,16,0,Image
2024-09,0,0,Image
2024-10,0,0,Image
2024-11,100,0,Image
2024-12,0,0,Image
2025-01,0,0,Image
2025-02,0,0,Image
2025-03,0,0,Image
2025-04,0,0,Image
2008-01,0,0,News
2008-02,0,0,News
2008-03,0,0,News
