Month,Shein,Flohmarkt,Search_Type
2008-09,0,3,Image
2008-10,0,6,Image
2008-11,0,0,Image
2008-12,0,3,Image
2009-01,0,5,Image
2009-02,0,5,Image
2009-03,0,4,Image
2009-04,0,7,Image
2009-05,0,7,Image
2009-06,0,5,Image
2009-07,0,4,Image
2009-08,0,6,Image
2009-09,0,7,Image
2009-10,0,5,Image
2009-11,0,4,Image
2009-12,0,2,Image
2010-01,0,4,Image
2010-02,0,2,Image
2010-03,0,5,Image
2010-04,0,5,Image
2010-05,0,6,Image
2010-06,0,2,Image
2010-07,0,4,Image
2010-08,0,7,Image
2010-09,0,7,Image
2010-10,0,4,Image
2010-11,0,3,Image
2010-12,0,2,Image
2011-01,0,4,Image
2011-02,0,5,Image
2011-03,0,8,Image
2011-04,0,8,Image
2011-05,0,7,Image
2011-06,0,6,Image
2011-07,0,7,Image
2011-08,0,7,Image
2011-09,0,8,Image
2011-10,0,6,Image
2011-11,0,6,Image
2011-12,0,4,Image
2012-01,0,5,Image
2012-02,0,6,Image
2012-03,0,8,Image
2012-04,0,9,Image
2012-05,0,11,Image
2012-06,0,7,Image
2012-07,0,9,Image
2012-08,0,10,Image
2012-09,0,12,Image
2012-10,0,10,Image
2012-11,0,5,Image
2012-12,0,4,Image
2013-01,0,4,Image
2013-02,0,5,Image
2013-03,0,8,Image
2013-04,0,9,Image
2013-05,0,10,Image
2013-06,0,9,Image
2013-07,0,11,Image
2013-08,0,11,Image
2013-09,0,12,Image
2013-10,0,12,Image
2013-11,0,7,Image
2013-12,0,5,Image
2014-01,0,8,Image
2014-02,0,10,Image
2014-03,0,12,Image
2014-04,0,12,Image
2014-05,0,14,Image
2014-06,0,13,Image
2014-07,0,11,Image
2014-08,0,13,Image
2014-09,0,14,Image
2014-10,0,12,Image
2014-11,0,9,Image
2014-12,0,5,Image
2015-01,0,7,Image
2015-02,0,9,Image
2015-03,0,11,Image
2015-04,0,13,Image
2015-05,0,13,Image
2015-06,0,12,Image
2015-07,0,11,Image
2015-08,0,13,Image
2015-09,0,13,Image
2015-10,0,13,Image
2015-11,0,8,Image
2015-12,1,6,Image
2016-01,1,8,Image
2016-02,1,8,Image
2016-03,1,11,Image
2016-04,1,16,Image
2016-05,1,15,Image
2016-06,1,12,Image
2016-07,2,12,Image
2016-08,2,13,Image
2016-09,3,13,Image
2016-10,3,14,Image
2016-11,2,8,Image
2016-12,2,5,Image
2017-01,2,8,Image
2017-02,1,9,Image
2017-03,3,12,Image
2017-04,4,16,Image
2017-05,2,15,Image
2017-06,3,16,Image
2017-07,2,14,Image
2017-08,2,13,Image
2017-09,4,14,Image
2017-10,3,14,Image
2017-11,4,8,Image
2017-12,4,5,Image
2018-01,4,7,Image
2018-02,3,10,Image
2018-03,4,13,Image
2018-04,4,19,Image
2018-05,4,18,Image
2018-06,5,14,Image
2018-07,4,13,Image
2018-08,3,15,Image
2018-09,4,18,Image
2018-10,6,14,Image
2018-11,6,9,Image
2018-12,5,6,Image
2019-01,6,8,Image
2019-02,5,10,Image
2019-03,7,14,Image
2019-04,7,14,Image
2019-05,7,17,Image
2019-06,8,16,Image
2019-07,8,13,Image
2019-08,8,17,Image
2019-09,9,17,Image
2019-10,9,15,Image
2019-11,9,10,Image
2019-12,7,8,Image
2020-01,10,10,Image
2020-02,11,10,Image
2020-03,13,7,Image
2020-04,19,3,Image
2020-05,18,4,Image
2020-06,18,6,Image
2020-07,19,10,Image
2020-08,19,8,Image
2020-09,17,11,Image
2020-10,17,9,Image
2020-11,18,3,Image
2020-12,17,2,Image
2021-01,25,3,Image
2021-02,32,3,Image
2021-03,28,3,Image
2021-04,39,2,Image
2021-05,43,4,Image
2021-06,41,11,Image
2021-07,36,13,Image
2021-08,34,13,Image
2021-09,32,13,Image
2021-10,33,17,Image
2021-11,27,8,Image
2021-12,26,4,Image
2022-01,30,6,Image
2022-02,33,8,Image
2022-03,36,13,Image
2022-04,34,16,Image
2022-05,40,19,Image
2022-06,45,19,Image
2022-07,38,18,Image
2022-08,35,18,Image
2022-09,34,19,Image
2022-10,36,17,Image
2022-11,36,11,Image
2022-12,32,5,Image
2023-01,42,9,Image
2023-02,41,12,Image
2023-03,43,15,Image
2023-04,43,21,Image
2023-05,52,20,Image
2023-06,61,19,Image
2023-07,49,15,Image
2023-08,48,16,Image
2023-09,46,21,Image
2023-10,40,16,Image
2023-11,38,8,Image
2023-12,34,6,Image
2024-01,46,8,Image
2024-02,45,11,Image
2024-03,30,14,Image
2024-04,34,21,Image
2024-05,39,18,Image
2024-06,34,13,Image
2024-07,36,14,Image
2024-08,30,18,Image
2024-09,69,0,Image
2024-10,0,99,Image
2024-11,0,0,Image
2024-12,0,0,Image
2025-01,100,0,Image
2025-02,0,0,Image
2025-03,0,0,Image
2025-04,30,20,Image
2008-01,0,0,News
2008-02,0,0,News
2008-03,0,0,News
2008-04,0,0,News
2008-05,0,0,News
2008-06,0,0,News
2008-07,0,0,News
2008-08,0,0,News
2008-09,0,0,News
2008-10,0,0,News
2008-11,0,0,News
2008-12,0,0,News
2009-01,0,0,News
2009-02,0,0,News
2009-03,0,0,News
2009-04,0,0,News
2009-05,0,0,News
2009-06,0,0,News
2009-07,0,0,News
2009-08,0,0,News
2009-09,0,0,News
2009-10,0,0,News
2009-11,0,0,News
2009-12,0,0,News
2010-01,0,0,News
2010-02,0,0,News
2010-03,0,0,News
2010-04,0,0,News
2010-05,0,0,News
2010-06,0,0,News
2010-07,0,0,News
2010-08,0,0,News
2010-09,0,0,News
2010-10,0,0,News
2010-11,0,0,News
2010-12,0,0,News
2011-01,0,0,News
2011-02,0,0,News
2011-03,0,0,News
2011-04,0,0,News
2011-05,0,0,News
2011-06,0,0,News
2011-07,0,0,News
2011-08,0,0,News
2011-09,0,26,News
2011-10,0,23,News
2011-11,0,0,News
2011-12,0,0,News
2012-01,0,0,News
2012-02,0,0,News
2012-03,0,0,News
2012-04,0,0,News
2012-05,0,27,News
